T,N,A,E,4,1,I,O,S,.,9,C,",",H,=,G,/,Y,3,J,5,W,M,K,Z,D,Q,F,L,U,R,0,B,2,?,P,6,X,7,V,8
1.961,0.913,1.084,0.623,2.195,1.981,0.919,2.041,1.312,1.124,4.619,1.078,1.277,1.369,2.159,2.118,4.627,3.573,1.161,1.881,1.850,2.058,0.362,0.347,1.622,1.354,2.338,2.555,3.865,1.972,2.711,0.757,2.223,2.581,7.259,2.697,6.280,2.843,1.544,1.907,5.598
0.598,1.303,0.771,0.864,1.573,1.386,2.168,1.297,0.754,0.631,1.059,1.067,1.087,1.027,3.542,1.017,4.050,5.310,5.274,1.427,1.734,2.283,0.494,1.212,3.647,2.765,1.106,2.297,2.545,4.550,3.943,0.637,3.047,2.765,4.305,3.569,3.445,2.251,2.648,2.143,1.723
0.879,1.122,1.750,0.566,3.231,2.036,1.676,1.353,1.560,0.460,1.162,2.583,3.859,1.004,4.768,2.251,3.297,0.861,6.111,2.367,3.591,1.711,0.570,1.160,2.862,3.534,2.565,2.072,5.802,1.550,2.989,1.757,7.040,3.113,2.617,3.262,3.279,3.715,4.102,0.655,2.794
0.764,1.117,0.674,0.938,2.655,3.721,1.017,0.818,1.213,1.966,1.268,1.891,1.491,4.251,2.675,2.529,6.126,2.030,5.589,2.883,1.189,2.642,0.609,1.278,3.113,3.760,2.617,2.382,3.882,4.051,5.670,1.393,3.426,3.502,3.975,1.353,6.444,1.935,3.586,2.025,3.642
0.629,1.306,0.751,0.553,1.727,3.016,1.005,1.146,1.646,0.816,3.087,5.019,1.007,3.077,3.615,3.445,3.017,2.892,3.864,3.624,1.321,1.996,0.405,0.816,2.598,4.049,2.394,2.308,1.575,2.710,2.167,1.272,4.615,2.879,2.004,1.764,2.233,2.542,4.709,4.613,2.347
0.447,1.333,1.231,0.579,3.130,2.000,1.418,1.217,1.117,0.824,5.412,0.908,1.812,1.435,2.535,3.390,5.842,2.028,2.930,2.310,1.368,5.472,0.310,0.920,3.226,0.781,1.673,2.156,2.755,1.654,2.500,1.441,4.338,3.078,3.708,2.154,2.113,6.066,3.721,5.018,4.557
0.969,2.123,0.999,0.678,3.013,1.784,1.070,1.103,2.022,0.932,1.556,0.945,2.544,1.456,6.440,2.260,4.459,5.111,3.895,1.741,0.692,2.246,0.283,0.370,3.421,3.886,2.331,2.469,3.740,0.724,1.552,0.568,1.184,6.787,7.947,2.438,1.410,1.857,2.640,1.939,3.018
0.500,0.932,1.842,0.461,1.047,1.277,1.063,0.768,1.614,0.578,1.563,1.455,3.283,1.162,3.092,1.428,4.278,2.529,2.482,4.962,0.740,2.124,1.383,2.002,3.136,2.527,3.211,3.259,4.499,1.031,1.308,0.443,2.830,1.929,6.868,0.646,2.997,4.436,7.466,7.166,2.526
0.617,0.979,0.354,0.661,1.154,2.570,1.674,1.099,0.411,0.566,0.927,3.614,1.248,1.651,1.965,2.165,5.039,6.564,2.815,3.500,1.892,3.320,1.969,0.638,3.556,3.442,2.187,2.548,2.968,1.444,2.645,0.877,3.232,6.548,5.278,1.730,2.274,4.088,2.815,2.736,2.459
1.062,0.951,1.610,0.551,1.069,4.765,0.933,1.143,0.545,0.847,1.761,0.840,1.629,2.224,9.521,1.214,2.867,2.327,1.194,3.207,1.129,2.641,1.286,0.718,3.015,2.015,9.273,6.856,2.460,2.505,3.458,0.719,6.350,1.110,4.661,4.894,2.202,2.349,5.399,0.822,4.360
0.667,0.650,1.119,0.858,2.444,1.369,0.641,0.974,1.621,3.366,1.909,1.010,2.352,2.712,1.880,1.184,4.385,1.306,5.671,1.779,2.744,3.376,0.562,2.493,3.436,4.042,2.968,2.669,6.851,3.760,2.276,1.465,4.749,8.920,5.582,2.270,3.313,3.682,1.217,0.400,2.797
0.838,1.396,0.905,0.531,1.741,2.396,1.291,1.261,1.667,3.556,1.597,1.760,2.290,1.354,4.850,2.206,5.017,9.072,7.818,1.695,3.178,3.533,0.701,1.374,3.192,2.318,3.013,2.539,4.214,2.036,1.044,1.450,9.504,2.249,5.299,5.861,3.578,2.961,4.063,2.556,3.662
0.757,1.797,0.834,1.228,4.175,0.648,1.180,0.938,2.092,0.931,2.925,4.003,2.648,1.913,2.525,2.777,5.197,6.932,4.891,2.902,1.374,3.638,1.082,1.440,2.892,3.312,1.675,3.468,3.955,3.646,1.353,0.664,3.447,3.005,4.238,2.069,2.757,3.797,3.104,1.157,3.404
0.638,0.934,0.618,0.702,2.656,1.758,3.344,2.406,2.277,0.730,3.057,0.747,9.595,0.997,3.653,3.709,3.646,3.897,4.756,3.742,2.091,1.887,0.625,0.967,4.824,3.024,2.349,6.145,2.578,2.042,2.972,1.188,2.305,6.744,6.496,7.080,2.573,2.164,1.933,4.276,5.598
